playDispNm,playMin,playPos,playHeight,playWeight,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB
Jimmy Butler,36.6610169492,4,79.0,220.0,22.1525423729,4.8813559322,1.83050847458,1.98305084746,0.406779661017,1.32203389831,15.6101694915,7.40677966102,0.477057627119,12.2203389831,6.22033898305,0.505505084746,3.38983050847,1.18644067797,0.342289830508,7.20338983051,6.15254237288,0.78223220339,1.35593220339,3.96610169492
Joakim Noah,5.85714285714,3,83.0,232.0,1.71428571429,0.571428571429,0.571428571429,0.285714285714,0.285714285714,0.714285714286,1.42857142857,0.714285714286,0.452385714286,1.42857142857,0.714285714286,0.452385714286,0.0,0.0,0.0,0.571428571429,0.285714285714,0.142857142857,0.857142857143,1.14285714286
Jodie Meeks,14.5194805195,5,76.0,208.0,6.32467532468,0.909090909091,0.493506493506,0.376623376623,0.0519480519481,0.714285714286,5.1038961039,2.03896103896,0.373122077922,2.37662337662,1.1038961039,0.364861038961,2.72727272727,0.935064935065,0.284663636364,1.51948051948,1.31168831169,0.448775324675,0.194805194805,1.44155844156
Joe Harris,25.2948717949,4,78.0,225.0,10.8461538462,1.64102564103,1.16666666667,0.448717948718,0.25641025641,1.96153846154,7.97435897436,3.91025641026,0.492078205128,3.38461538462,1.98717948718,0.580343589744,4.58974358974,1.92307692308,0.411601282051,1.33333333333,1.10256410256,0.462393589744,0.679487179487,2.67948717949
Joe Ingles,31.4634146341,2,80.0,216.0,11.4634146341,4.78048780488,1.92682926829,1.10975609756,0.243902439024,2.17073170732,8.75609756098,4.08536585366,0.458301219512,3.09756097561,1.59756097561,0.491957317073,5.65853658537,2.48780487805,0.430640243902,1.01219512195,0.80487804878,0.361280487805,0.292682926829,3.90243902439
Joe Johnson,21.8909090909,5,80.0,225.0,6.76363636364,1.50909090909,0.890909090909,0.327272727273,0.127272727273,1.21818181818,6.54545454545,2.65454545455,0.3873,3.90909090909,1.92727272727,0.472129090909,2.63636363636,0.727272727273,0.23398,0.818181818182,0.727272727273,0.322727272727,0.254545454545,2.87272727273
Joel Bolomboy,6.16666666667,4,81.0,224.0,1.5,0.0,0.333333333333,0.333333333333,0.0,0.5,1.0,0.5,0.333333333333,0.833333333333,0.5,0.333333333333,0.166666666667,0.0,0.0,1.0,0.5,0.25,1.0,0.666666666667
Joel Embiid,30.380952381,3,84.0,250.0,22.9365079365,3.15873015873,3.69841269841,0.634920634921,1.77777777778,3.31746031746,16.7142857143,8.09523809524,0.485646031746,13.3174603175,7.04761904762,0.531334920635,3.39682539683,1.04761904762,0.287680952381,7.4126984127,5.69841269841,0.752588888889,2.26984126984,8.66666666667
Joffrey Lauvergne,9.70909090909,3,83.0,240.0,4.10909090909,0.745454545455,0.6,0.163636363636,0.0545454545455,0.818181818182,3.45454545455,1.78181818182,0.385987272727,3.36363636364,1.78181818182,0.389725454545,0.0909090909091,0.0,0.0,0.854545454545,0.545454545455,0.25,1.12727272727,1.96363636364
John Collins,24.1216216216,4,82.0,235.0,10.5,1.32432432432,1.41891891892,0.635135135135,1.08108108108,2.90540540541,7.37837837838,4.24324324324,0.584881081081,6.74324324324,4.02702702703,0.608536486486,0.635135135135,0.216216216216,0.122909459459,2.51351351351,1.7972972973,0.564527027027,2.37837837838,4.93243243243
